Loading sequences.
Calculating pairwise edit distance.
452 / 703 > 4617 | graySeal | hippopotamus
453 / 703 > 4644 | graySeal | horse
454 / 703 > 4699 | graySeal | human
455 / 703 > 4732 | graySeal | indianRhinoceros
456 / 703 > 5157 | graySeal | mouse
457 / 703 > 6294 | graySeal | opossum
458 / 703 > 5395 | graySeal | orangutan
459 / 703 > 4741 | graySeal | pig
460 / 703 > 5468 | graySeal | pigmyChimpanzee
461 / 703 > 6245 | graySeal | platypus
462 / 703 > 5766 | graySeal | rabbit
463 / 703 > 8847 | graySeal | randgen0
464 / 703 > 8922 | graySeal | randgen1
465 / 703 > 8901 | graySeal | randgen2
466 / 703 > 8879 | graySeal | randgen3
467 / 703 > 5204 | graySeal | rat
468 / 703 > 4758 | graySeal | sheep
469 / 703 > 5132 | graySeal | squirrel
470 / 703 > 5914 | graySeal | wallaroo
471 / 703 > 4770 | graySeal | whiteRhinoceros
472 / 703 > 5676 | guineaPig | harborSeal
473 / 703 > 4585 | guineaPig | hippopotamus
474 / 703 > 4516 | guineaPig | horse
475 / 703 > 5690 | guineaPig | human
476 / 703 > 4469 | guineaPig | indianRhinoceros
477 / 703 > 4696 | guineaPig | mouse
478 / 703 > 5209 | guineaPig | opossum
479 / 703 > 5061 | guineaPig | orangutan
480 / 703 > 4425 | guineaPig | pig
481 / 703 > 4909 | guineaPig | pigmyChimpanzee
482 / 703 > 5356 | guineaPig | platypus
483 / 703 > 4723 | guineaPig | rabbit
484 / 703 > 8917 | guineaPig | randgen0
485 / 703 > 8945 | guineaPig | randgen1
486 / 703 > 8958 | guineaPig | randgen2
487 / 703 > 8928 | guineaPig | randgen3
488 / 703 > 4726 | guineaPig | rat
489 / 703 > 4635 | guineaPig | sheep
490 / 703 > 4501 | guineaPig | squirrel
491 / 703 > 5044 | guineaPig | wallaroo
492 / 703 > 4494 | guineaPig | whiteRhinoceros
493 / 703 > 4646 | harborSeal | hippopotamus
494 / 703 > 4654 | harborSeal | horse
495 / 703 > 4704 | harborSeal | human
496 / 703 > 4765 | harborSeal | indianRhinoceros
497 / 703 > 5169 | harborSeal | mouse
498 / 703 > 6311 | harborSeal | opossum
499 / 703 > 5388 | harborSeal | orangutan
500 / 703 > 4751 | harborSeal | pig
501 / 703 > 5488 | harborSeal | pigmyChimpanzee
502 / 703 > 6267 | harborSeal | platypus
503 / 703 > 5809 | harborSeal | rabbit
